Serbian,Russian,Definition
alkoholičar,алкоголик,"Человек, страдающий зависимостью от алкоголя."
oslobađa,освобождает,"Освобождать от чего-либо, избавлять."
računala,компьютеры,"Устройство для обработки и хранения данных, обычно используемое для выполнения вычислений и работы с информацией."
odlučan,определенный,"Решительный, уверенный в своих действиях и намерениях."
momčino,мальчишеский,
izum,изобретение,"Изобретение, новое решение или идея, созданные в результате творческой деятельности."
питања,вопросы,"Вопросы, на которые требуется ответ или разъяснение."
uvid,понимание,"Понимание или осознание чего-либо, особенно в контексте анализа или исследования."
sluškinja,служанка,"Служанка; женщина, выполняющая обязанности по дому или заботящаяся о других."
odbijanje,отторжение,Отказ или непринятие чего-либо.
naručju,в твоих объятиях,"Область между плечами и грудью, где можно держать что-то, например, ребенка или предметы."
napreduju,прогрессируют,"Развиваться, улучшаться или достигать прогресса в чем-либо."
šaka,кулак,"Кисть руки, состоящая из пальцев и ладони."
monti,устанавливать,
њој,ей,
gumu,резина,"Резиновый материал, используемый для изготовления шин, уплотнений и других изделий."
patolog,патологоанатом,"Специалист, изучающий болезни и их причины."
medaljon,медальон,"Круглый или овальный предмет, обычно из металла, с изображением или надписью, который носится на шее или используется как награда."
detektor,детектор,"Устройство, предназначенное для обнаружения или измерения определённых физических явлений, таких как радиация, металл или звук."
senat,сенат,"Высший законодательный орган в некоторых странах, состоящий из сенаторов."
povišicu,повышение,Повышение зарплаты или других выплат.
komoru,камера,"Комора — это помещение или камера, предназначенное для хранения или выполнения определённых функций."
hope,надеяться,Ожидание положительного результата или улучшения ситуации.
zarad,ради,"В результате, в обмен на что-то, обычно в контексте получения выгоды или дохода."
dvesta,двести,"Двести — это числительное, обозначающее количество, равное двумстам."
kurir,курьер,Перевозчик сообщений или документов.
špagete,спагетти,"Длинные тонкие макароны, обычно из пшеничной муки, используемые в итальянской кухне."
prag,порог,"Порог — это нижняя часть двери или входа, отделяющая внутреннее пространство от внешнего."
kocku,куб,Кубическая фигура с равными сторонами.
khan,хан,
nekretnina,недвижимость,"Недвижимость, включая землю и здания, которые могут быть куплены, проданы или сданы в аренду."
чујеш,ты слышишь,Слышишь.
autoput,шоссе,"Автомагистраль, предназначенная для быстрого и безопасного передвижения автомобилей на большие расстояния."
palata,дворец,"Здание, предназначенное для проживания, работы или официальных мероприятий, часто имеющее внушительные размеры и архитектурные особенности."
not,примечание,
lampa,лампа,"Освещающее устройство, обычно с абажуром и лампочкой."
kriket,крикет,"Игра с мячом и битой, популярная в странах Содружества."
patnja,страдания,"Страдание, мучение или боль, испытываемые человеком."
blokira,блоки,Заблокировать — это остановить или предотвратить доступ к чему-либо.
bud,бутон,
clay,глина,"Глина — это природный материал, состоящий из мелких частиц минералов, используемый в строительстве и керамике."
usrao,дерьмовый,
rastavi,отдельный,Разделить на части или элементы.
kockice,кости,Маленький кубик или фигурка в форме куба.
gold,золото,"Драгоценный металл желтого цвета, используемый в ювелирных изделиях и как средство обмена."
trbuh,живот,"Живот, часть тела между грудной клеткой и бедрами."
papirologiju,бумажная работа,Система управления документами и бумажной работой в организации.
grize,укусы,Кусать или прикусывать что-либо.
počiva,остатки,Находиться в состоянии покоя или отдыха.
rasprava,обсуждение,Обсуждение или дебаты по какому-либо вопросу.
bouns,подпрыгивать,
oprost,прощение,"Прощение, освобождение от обиды или вины."
поруку,сообщение,"Сообщение, передаваемое от одного человека к другому."
svakakve,все виды,"Разнообразный, всякий, любой."
laknulo,с облегчением,
jogurt,йогурт,"Молочный продукт, получаемый путем ферментации молока с использованием специальных бактерий."
uragan,ураган,Сильный тропический циклон с очень сильными ветрами и дождями.
pumpe,насосы,Устройство для перекачивания жидкостей или газов.
tornado,торнадо,"Сильный атмосферный вихрь, образующийся в результате конвективных процессов и характеризующийся вращающимся столбом воздуха, который может причинять значительный ущерб."
domar,уборщик,"Работник, отвечающий за обслуживание и управление зданием или домом."
zadugo,надолго,"Долго, в течение продолжительного времени."
pomisle,думать,"Думать о чем-то, представлять себе."
štene,щенок,"Щенок — это молодая собака, обычно до одного года."
uslov,состояние,"Условие — это требование или обстоятельство, при котором что-либо происходит или осуществляется."
upozori,предупреждать,Предупредить о чем-либо или обратить внимание на что-то.
katolik,католический,"Человек, принадлежащий к католической церкви."
bruk,ручей,
bini,этап,"Сцена или платформа для выступлений, особенно в театре или на концерте."
otkup,искупление,"Выкуп денег или имущества, обычно в обмен на что-то другое."
vladar,линейка,"Правитель, обладающий властью над государством или территорией."
art,искусство,"Искусство — это форма человеческой деятельности, выражающая эстетические идеи и эмоции через творчество."
perfektno,идеальный,"Совершенно, безупречно, идеально."
tretira,угощения,"Обращаться с кем-либо или чем-либо определённым образом, рассматривать в каком-либо качестве."
користи,преимущества,"Использует, извлекает выгоду или пользу из чего-либо."
materija,иметь значение,"Материя — это вещество, из которого состоят физические объекты и которое имеет массу и объем."
граду,в город,
zaboravlja,забывает,"Забывать что-то, не помнить о чем-то."
trovanje,отравление,"Отравление — это процесс, при котором в организм попадают токсичные вещества, вызывающие вредное воздействие на здоровье."
biskup,епископ,"Высший церковный сан в христианстве, отвечающий за управление епархией."
poštar,почтальон,"Человек, занимающийся доставкой почты."
nezgodu,несчастный случай,"Несчастный случай или происшествие, часто связанное с травмами или повреждениями."
nesrećni,несчастный,Несчастный; испытывающий горе или страдание.
lija,дождь,
ponosno,с гордостью,"С гордостью, с чувством гордости."
političar,политик,"Человек, занимающийся политической деятельностью и представляющий интересы определенной группы или общества."
talent,талант,Способность или дар к определённой деятельности или искусству.
paljba,стрельба,"Огневой обстрел, стрельба."
muzičar,музыкант,"Музыкант — это человек, занимающийся исполнением или созданием музыки."
stjui,стуи,
pan,кастрюля,
смешно,забавный,"Смешное — это то, что вызывает смех или amusement."
bon,ваучер,
provode,тратить,"Осуществлять, выполнять или проводить что-либо."
radijacije,радиация,"Излучение энергии в виде волн или частиц, возникающее в результате ядерных, электрических или магнитных процессов."
omlet,омлет,"Яйцо, взбитое и приготовленное на сковороде, часто с добавлением различных ингредиентов."
konferencija,конференция,Собрание людей для обсуждения определённых тем или вопросов.
privlačan,привлекательный,"Привлекательный, вызывающий интерес или симпатию."
čopor,пакет,"Группа животных одного вида, объединённых для совместной жизни или охоты."
koliba,хижина,"Небольшое деревянное или каменное строение, обычно используемое как временное жилье или укрытие."
olako,легко,"Легко, без усилий или серьезных последствий."
kompromis,компромисс,"Соглашение между сторонами, достигнутое путем взаимных уступок."
kruži,циркулирует,Крутиться или двигаться по кругу.
kamila,верблюд,"Верблюд, крупное животное, приспособленное к жизни в пустыне."
dvoboj,дуэль,"Состязание между двумя противниками, обычно с оружием."
morska,морской,Относящийся к морю или находящийся в море.
prezentaciju,презентация,Представление информации или идей в структурированном виде для аудитории.
izbio,вспыхнул,Убить или нанести серьезный вред кому-либо или чему-либо.
beskućnik,бездомный человек,"Человек, не имеющий постоянного жилья."
probio,прорвался,"пройти сквозь что-либо, преодолеть препятствие."
naoružanje,вооружение,"Военное оборудование и оружие, используемое для ведения боевых действий."
покушао,пытался,Попытался что-то сделать.
radne,работающий,Относящийся к работе или трудовой деятельности.
maramicu,носовой платок,"Небольшой кусочек ткани или бумаги, используемый для вытирания носа или рук."
rocky,скалистый,Состоящий из камней или имеющий много камней.
monstrum,монстр,"Чудовище, ужасное или страшное существо."
argument,аргумент,"Довод или утверждение, используемое для обоснования мнения или позиции в обсуждении."
presvući,сменить одежду,Накрыть или покрыть что-либо чем-либо.
земљу,страна,"Земля, на которой живут люди, а также планета, на которой мы находимся."
teritorije,территории,"Участок земли, который имеет определенные границы и принадлежит какому-либо государству, организации или индивидууму."
romantičan,романтический,"Романтичный — это относящийся к романтике, выражающий чувства любви и нежности."
čelik,сталь,"Металл, состоящий в основном из железа и углерода, обладающий высокой прочностью и устойчивостью к коррозии."
plaćanje,оплата,Процесс передачи денег в обмен на товары или услуги.
gardner,садовник,"Садовод — это человек, занимающийся выращиванием растений и уходом за садами."
vecina,большинство,Большинство людей или вещей в группе.
zalazak,закат,"Закат — это момент, когда солнце опускается за горизонт."
publicitet,публичность,"Реклама или информация, предназначенная для широкой аудитории."
prtljažnik,ствол,Отделение в автомобиле для хранения багажа.
cigara,сигара,"Сигара — это свёрнутая трубка из табака, предназначенная для курения."
orgazam,оргазм,"Состояние интенсивного физического и эмоционального наслаждения, достигаемое в момент сексуального возбуждения."
hop,прыгать,
edit,редактировать,"Изменение текста или документа с целью улучшения, исправления или обновления информации."
grkljan,гортань,
udruženja,ассоциации,Объединение людей или организаций для достижения общих целей.
časno,с честью,"Достойный уважения, чести или славы."
боли,болит,"Боли — это физическое или эмоциональное страдание, дискомфорт или неприятные ощущения."
hladnokrvno,хладнокровный,Хладнокровно означает спокойное и невозмутимое поведение в стрессовых ситуациях.
đavolski,дьявольский,"Дьявольский, относящийся к дьяволу, злой или коварный."
narukvica,браслет,"Украшение в виде обручей или цепочек, надеваемое на запястье."
prepao,испуганный,Испугаться или испытать сильный страх.
jagnje,ягненок,"Ягнёнок — это молодая овца, обычно до одного года."
odluče,решать,Принять решение или сделать выбор.
konjak,коньяк,"Алкогольный напиток, получаемый дистилляцией виноградного вина и выдерживаемый в дубовых бочках."
širenje,расширение,"Расширение, увеличение или распространение чего-либо."
желимо,мы хотим,Мы хотим.
rog,рог,"Рог — это твердый, острый вырост на голове некоторых животных, обычно состоящий из кератина."
kolonija,колония,"Группа людей или животных, живущих вместе на определенной территории, или территория, находящаяся под контролем другой страны."
bitanga,негодяй,"Негодяй, мошенник или человек с низкими моральными качествами."
pijanica,пьяница,"Человек, который часто и много пьет алкогольные напитки."
uznemirujuće,тревожный,Вызывающий беспокойство или тревогу.
komesar,комиссар,"Чиновник, назначенный для выполнения определённых задач или контроля за выполнением обязанностей."
naivna,наивный,"Наивный; простой и доверчивый, не подозревающий о возможных обманах."
rezervisao,сдержанный,"Забронировать что-либо заранее, например, место или услугу."
glupača,глупая девчонка,Глупая женщина или девушка.
pristanak,согласие,Согласие или разрешение на что-либо.
bolničar,фельдшер,"Работник медицинского учреждения, занимающийся уходом за пациентами."
molbu,запрос,Заявление с просьбой о чем-либо.
naumio,намеревался,Задумать или решить что-то сделать.
vođstvo,лидерство,"Руководство, управление или влияние на группу людей или организацию."
grožđe,виноград,"Сладкие ягоды, растущие на виноградной лозе, используемые для производства вина и в пищу."
princip,принцип,"Основное правило или основа, на которой строится система убеждений или действий."
partnerstvo,партнерство,"Сотрудничество между двумя или несколькими сторонами, основанное на взаимных интересах и целях."
klinika,клиника,"Медицинское учреждение, предоставляющее услуги диагностики и лечения."
piramide,пирамиды,"Многоугольная фигура с основанием в виде многоугольника и треугольными гранями, сходящимися в одной точке."
месеци,месяцев,"Месяцы — это единицы времени, составляющие год, обычно равные 30 или 31 дню, за исключением февраля."
dobitak,прирост,"Прибыль или выигрыш, полученный в результате какого-либо действия или предприятия."
uživanje,наслаждение,"Удовольствие, наслаждение, радость от чего-либо."
tigre,тигр,"Большая дикая кошка с полосатой шерстью, обитающая в основном в Азии."
žale,сожалеть,"Сожалеть о чем-либо, испытывать грусть или печаль из-за утраты или неприятной ситуации."
groblja,кладбища,"Место, предназначенное для захоронения умерших."
plesačica,танцор,Танцовщица.
povez,бинт,"Связка или предмет, используемый для соединения или удержания чего-либо вместе."
trg,квадрат,"Площадь, открытое пространство в городе, обычно окруженное зданиями."
zakuni,ругаться,"Клятвенный, присяжный, связанный клятвой."
rađa,рожает,"Рожать, производить на свет детей."
postepeno,постепенно,"Постепенный — это такой, который происходит или изменяется медленно, поэтапно, без резких скачков."
ето,вот,
stoka,крупный рогатый скот,"Скот, домашние животные, используемые для сельского хозяйства."
kolekcija,коллекция,"Собрание предметов, имеющих общую тему или характеристику."
nagazi,наступить на,"Наступить на что-либо, оказать давление на поверхность."
užitak,удовольствие,"Удовольствие, наслаждение или радость от чего-либо."
rizikuje,рискует,Рисковать — это подвергать себя опасности или неопределенности ради достижения какой-либо цели.
til,тюль,
davi,тонуть,Задушить или причинить кому-либо затруднение в дыхании.
reporter,репортер,"Журналист, который собирает и передает новости или информацию."
buš,куст,
starost,возраст,"Возраст человека или животного, характеризующийся количеством прожитых лет."
batali,забудь это,"Отказаться от чего-либо, прекратить делать что-то."
strukturu,структура,Структура — это организация или расположение частей чего-либо в целое.
serum,сыворотка,"Жидкость, содержащая антитела и используемая для диагностики или лечения заболеваний."
izgovara,произносит,Произносить слова или фразы вслух.
ukapirao,понял это,Понять или осознать что-либо.
titl,подзаголовок,
navići,привыкнуть к,
štaviše,более того,Более того; кроме того.
kraljevstvu,королевство,"Государство, управляемое королём или королевой."
neuobičajeno,необычно,"Необычный, отличающийся от привычного или стандартного."
pljačkaš,грабитель,"Грабитель, человек, совершающий кражу с применением силы или угрозы."
zajebava,шутит,"Дразнить или шутить над кем-то, часто с целью насмешки."
standardna,стандартный,"Стандартный, соответствующий установленным нормам или требованиям."
realno,реалистичный,"Реально означает то, что существует или имеет место в действительности."
sumnjiv,подозрительный,"Подозрительный, вызывающий сомнения или недоверие."
rečnik,словарь,"Словарь, содержащий слова и их значения, обычно в алфавитном порядке."
izgradnju,строительство,Строительство или процесс создания чего-либо.
priznanja,признания,"Признание — это акт подтверждения или одобрения чего-либо, часто связанный с признанием заслуг или прав."
tremu,нервозность,"Состояние нервного напряжения или волнения, часто перед выступлением или важным событием."
felisiti,поздравления,
девојку,девушка,Молодая женщина или девушка.
naj,самый,
mađioničar,фокусник,"Человек, который выполняет трюки и иллюзии, создавая впечатление магии."
infekciju,инфекция,"Инфекция — это заболевание, вызванное проникновением в организм патогенных микроорганизмов."
rezervaciju,бронирование,Бронирование места или услуги заранее.
dužnik,должник,"Лицо, обязанное вернуть долг или выполнить финансовые обязательства."
dasku,доска,"Доска — это плоский и обычно прямоугольный кусок дерева или другого материала, используемый в строительстве, мебели или для письма."
čarobni,волшебный,"Очаровательный, волшебный, способный вызывать удивление и восхищение."
severna,северный,"Северный — относящийся к северу, находящийся на севере."
zabranio,запрещен,"Запретить что-либо, сделать так, чтобы это было недопустимо."
zapeo,застрявший,
trenuci,моменты,"Момент времени, краткий промежуток, в который происходит какое-либо событие."
fazon,стиль,"Стиль или манера, в которой что-то сделано или представлено."
bilijar,бильярд,"Игра, в которой игроки используют кии для удара по шарам на специальном столе с зеленым сукном."
pizda,пизда,
uvis,вверх,
uvod,введение,"Введение в тему или предмет, предшествующее основному содержанию."
noæi,ночью,"Ночь, период времени между закатом и восходом солнца."
prototip,прототип,"Прототип — это первоначальная модель или образец, на основе которого создаются другие изделия или разработки."
pošiljka,отгрузка,"Отправление или груз, который передается от одного лица к другому."
ambicija,амбиции,Стремление достичь высоких целей или успеха.
dramu,драма,"Жанр литературы и театра, характеризующийся конфликтом и эмоциональным напряжением."
направио,сделал,"Сделал, создал или выполнил что-либо."
sličnost,сходство,"Сходство, аналогия или общие черты между объектами или явлениями."
orbitu,орбита,"Кривая траектория, по которой движется небесное тело вокруг другого тела под действием гравитации."
štapić,палочка,"Маленький тонкий предмет, обычно используемый для поддержки или в качестве инструмента."
donekle,в некоторой степени,"В некоторой степени, частично."
suvenir,сувенир,"Предмет, который служит напоминанием о месте, событии или человеке."
magično,волшебно,"волшебный, связанный с магией или чудесами."
proleća,весна,"Время года между зимой и летом, когда природа пробуждается и начинается цветение."
naklonost,привязанность,Симпатия или предрасположенность к кому-либо или чему-либо.
votku,водка,"Алкогольный напиток, получаемый путем дистилляции зерна или картофеля, обычно прозрачный и крепкий."
fleš,вспышка,"Устройство для хранения и передачи данных, обычно в виде флеш-накопителя."
dvor,суд,"Двор — это огражденная территория вокруг здания, обычно используемая для отдыха или хозяйственных нужд."
znanost,наука,"Система знаний, основанная на исследовании и анализе явлений окружающего мира."
čarapa,носок,"Носочная одежда, покрывающая ногу от стопы до голени."
burke,бурки,"Длинная одежда, закрывающая тело и лицо женщины, традиционно носимая в некоторых мусульманских странах."
akademiju,академия,"Учебное заведение, занимающееся высшим образованием и научной деятельностью."
kane,хна,
zaklinjem,я клянусь,Заклинать — это призывать или вызывать что-либо с помощью магии или ритуала.
strejt,прямой,"Прямой, не изогнутый; в контексте сексуальной ориентации — гетеросексуальный."
kampovanje,кемпинг,"Процесс установки палатки и проживания на открытом воздухе, обычно в природных условиях."
usporava,замедляется,Замедлять движение или процесс.
iskustvu,опыт,"Опыт — это совокупность знаний и навыков, приобретённых в результате практической деятельности или жизненных ситуаций."
kasi,кассовый аппарат,"Касса — это место, где осуществляется расчет за товары или услуги."
modrica,синяк,"Синяк или кровоподтек, возникающий в результате травмы."
uzbudljiv,захватывающий,"Волнующий, вызывающий сильные эмоции или интерес."
sramotno,позорно,"Позорный, вызывающий стыд или унижение."
mentor,наставник,"Наставник, который помогает и направляет менее опытного человека в обучении или развитии."
nadgleda,контролирует,Наблюдать за чем-либо с целью контроля или управления.
amerikance,американцы,Гражданин или житель Соединенных Штатов Америки.
dubok,глубокий,"Глубокий, имеющий значительную протяженность вниз или внутрь."
zaseda,засада,"Засада — это скрытое нападение на противника, обычно с целью его уничтожения или захвата."
sebično,эгоистично,"Эгоистичный, заботящийся только о собственных интересах."
finansije,финансы,Сфера управления денежными ресурсами и их распределением.
veo,вуаль,"Вео — это легкая ткань, обычно используемая для покрытия головы или лица."
veb,веб,"Веб — это система взаимосвязанных документов и ресурсов, доступных через интернет."
politička,политический,Относящийся к политике или политическим вопросам.
obrazovanja,образование,"Процесс получения знаний, навыков и умений через обучение и воспитание."
enterprise,предприятие,"Предприятие — это организация, занимающаяся производственной или коммерческой деятельностью."
rone,нырять,"Погружаться в воду, находиться под водой."
šokantno,шокирующий,"Удивительный или вызывающий сильные эмоции, часто шокирующий."
nadređeni,начальство,"Подчинить кого-либо или что-либо, установить над ними контроль или власть."
bejker,пекарь,"Пекарь, занимающийся выпечкой хлеба и кондитерских изделий."
saučesnik,сообщник,Соучастник в преступлении или каком-либо действии.
otkucava,тиканье,"Отправлять или передавать информацию по частям, обычно с помощью механического устройства."
voditelj,лидер,"Руководитель или человек, который ведет группу или мероприятие."
vlakna,волокна,"Волокно — это тонкая нить, образующая ткани и другие материалы."
nameštaljka,настраивать,"Устройство или механизм, предназначенный для настройки или регулировки чего-либо."
burger,бургер,"Бургер — это сэндвич, состоящий из котлеты, обычно из говядины, помещенной между двумя половинами булочки, часто с добавлением различных начинок и соусов."
rupija,рупия,
lukav,хитрость,"Хитрый, коварный, способный обмануть или использовать других в своих интересах."
potok,транслировать,"Небольшой водоток, обычно с быстрым течением."
muza,муза,
nosač,перевозчик,"Устройство или предмет, предназначенный для поддержки или переноса чего-либо."
opada,уменьшается,"Уменьшаться в количестве, значении или интенсивности; падать."
roll,рулон,"Кусок теста или хлеба, скатанный в форму цилиндра."
bros,брошь,
cal,кал,
toplotu,нагревать,"Теплота — это мера внутренней энергии тела, связанная с его температурой."
barut,порох,"Взрывчатое вещество, используемое в оружии и пиротехнике."
gaj,роща,Лесистая местность или роща.
страшно,страшный,"Ужасный, вызывающий страх или тревогу."
teleskop,телескоп,"Оптический прибор, предназначенный для наблюдения удалённых объектов, особенно астрономических."
vlasništvu,собственность,"Собственность, право владения чем-либо."
rover,марсоход,
kobasica,колбаса,"Колбаса, обычно из мясного фарша, приправленная специями и завернутая в оболочку."
grofica,графиня,"Женщина, обладающая титулом графини, обычно в европейской аристократии."
dijagnozu,диагноз,"Медицинский термин, обозначающий определение болезни или состояния пациента на основе симптомов и исследований."
škodi,вредит,"Вредить, наносить ущерб или причинять вред."
luksuz,роскошь,"Роскошь, изобилие и комфорт, превышающие обычные потребности."
homoseksualac,гомосексуал,"Человек, испытывающий романтическое или сексуальное влечение к представителям своего пола."
nasledstvo,наследование,"Наследство — это имущество, права и обязанности, передаваемые от одного человека к другому по наследству."
prepozna,распознавать,Узнать или идентифицировать кого-либо или что-либо по внешним признакам или характеристикам.
nesumnjivo,несомненно,"Несомненно, без сомнения."
žalosno,грустно,"Печальный, вызывающий грусть или сожаление."
elegantno,элегантный,"Изящный, стильный и утончённый в внешнем виде или манерах."
èula,чувства,
glavobolja,головная боль,"Головная боль — это болезненное ощущение в области головы, часто сопровождающееся дискомфортом и напряжением."
trinaest,тринадцать,"Тринадцать — это натуральное число, следующее за двенадцатью и предшествующее четырнадцати."
moda,мода,"Стиль одежды и аксессуаров, который является популярным в определённый период времени."
vibracije,вибрации,"Колебательное движение, передающееся через материальные среды или в пространстве."
nekoć,давным-давно,"Когда-то, в прошлом."
mršav,тощий,"Худой, с низким содержанием жира или массы."
pičkice,киски,
plač,плачет,"Звук, производимый при плаче, обычно выражающий горе или печаль."
dokumentarac,документальный фильм,"Документальный фильм, представляющий собой художественное или научное исследование реальных событий, людей или явлений."
produži,продлевать,Удлинить или сделать что-то более длительным по времени.
kišobran,зонтик,"Зонт, используемый для защиты от дождя или солнца."
brik,кирпич,"Кирпич, используемый в строительстве."
šesnaest,шестнадцать,"Число, следующее за пятнадцатью и предшествующее семнадцати."
plima,прилив,"Прилив, подъем уровня воды в море или океане, вызванный гравитационным воздействием Луны и Солнца."
preneo,передано,Перенести что-либо с одного места на другое.
metafora,метафора,"Фигура речи, в которой одно слово или выражение используется для обозначения другого на основе сходства или ассоциации."
sluh,слух,Способность воспринимать звуки и различать их.
урадимо,давай сделаем это,Сделаем.
zaljubi,влюбляться,Влюбиться — это испытать сильное чувство любви к кому-либо.
mrtvac,мертвец,"Мертвец — это человек, который умер."
magnet,магнит,"Привлекающий металлический объект, обладающий магнитными свойствами."
taktika,тактика,Стратегия действий для достижения определенной цели.
moždani,церебральный,Относящийся к мозгу или умственной деятельности.
zrno,зерно,"Зерно — это семя или плод растения, используемое для размножения или в пищу."
strasno,страстно,"Ужасный, вызывающий страх или тревогу."
vrlina,достоинство,"Добродетель, положительное качество или моральная ценность человека."
